Feature,Importance
D12,0.0019250084253700003
V291,0.0018938831834395234
V77,0.001881944152602907
V209,0.0018808079887345972
dist1,0.0018807579018522728
V268,0.0018805601798409983
D11,0.001834239406558891
V131,0.0018113138770474587
V287,0.0017733614417323065
V95,0.0016929608936831618
V281,0.0016915597994651757
V146,0.001687151020878649
V76,0.001669733882323947
V39,0.0016691515972731173
V53,0.0016617206970702082
D14,0.0016306158294454311
V215,0.0016215224655960548
V222,0.00160288655850613
V97,0.0016017014982212855
V69,0.0015706090638692035
V82,0.0015648223043404845
V13,0.0015278218835705368
V124,0.0015217771266099068
V290,0.001518008116397256
V309,0.001514922826273005
V292,0.001513366102583606
V320,0.0014782683715706176
dist1_Log,0.0014734626497785446
V130,0.001428789489788432
V214,0.0014185636025108323
V55,0.0014157775056697123
V17,0.0013429787682153966
TransactionAmt_IsRound,0.001326645002577982
V321,0.0013256491338534085
V56,0.001298621839469364
V47,0.0012939117227737946
V80,0.0012933862016051788
V99,0.0012884703150174482
V136,0.0012878000183206282
V225,0.0012716374402412045
Email_IsPopular,0.0012444448876592837
V223,0.001240979696780654
V123,0.0012402192424472603
V71,0.0012347509523258316
V143,0.0012270914602042
V261,0.001226762553515442
V66,0.001211554827978552
V50,0.0012028710549567326
V86,0.0011934735496613984
V105,0.001180322585536199
V90,0.0011644888295428998
V184,0.0011641021296518363
V296,0.0011564863841472442
V19,0.0011501353082514207
V319,0.0011477036968283488
V23,0.0011400729897627561
V135,0.0011368244402067552
V276,0.0011359299257576783
V234,0.001115550508202165
D13,0.0011011830386169796
V137,0.0011007899471824033
V20,0.0010964649371005177
C5,0.0010958280203021541
V31,0.001083510767397355
TransactionDT_IsNight,0.001080548909324617
V24,0.0010732379173479301
V238,0.0010370018686419688
V83,0.0010367775968193253
V46,0.0009694794082067744
V220,0.0009658017815278497
V36,0.0009615461969138557
V302,0.0009528406710848974
V180,0.0009511907816489812
V270,0.0009389381364016417
V185,0.0008699044098908275
V174,0.000868333566747966
V104,0.0008579601375648717
V48,0.0008463393818287933
V144,0.0008336979381929527
V299,0.0008292613883583906
V338,0.0008253610582551857
V100,0.0008236528365744189
V115,0.0008234242978597334
V176,0.0008129105974821536
V4,0.000750156472567104
V116,0.0007460993604849713
V236,0.0007458670777999419
V26,0.0007425511806692441
V129,0.0007382950025869836
V181,0.0007332318958226699
V224,0.0007259297815354804
M2,0.0006954188501067926
V328,0.0006885023957435306
V284,0.0006718136714768755
V298,0.0006602871568287482
V194,0.0006568789230197837
V335,0.0006481140200370175
V300,0.0006429035720497269
V169,0.0006415800477154299
V311,0.0006333164184404899
V75,0.0006142447396010928
TransactionDT_IsWeekend,0.0006079155184716015
V106,0.0006073531077813672
V250,0.0006070184883198423
V125,0.0005999214836820016
V173,0.0005984254910476693
M5,0.0005965696879081664
V148,0.0005761338651965598
V29,0.0005674831311633006
V260,0.0005656989150805684
M3,0.0005520123489221226
V9,0.0005326045342614434
V226,0.0005297289261455516
V35,0.0005137502479864492
V301,0.000512814303787979
V10,0.0005000672282223436
V109,0.0004487583512667768
V3,0.0004261990861257726
V235,0.00041535837471335074
V326,0.0004078927620120263
V286,0.00039263661519456714
V25,0.0003382900051957847
V227,0.0003209588395494879
V5,0.00031695156426759017
M9,0.00029354013487981994
V329,0.0002854115680803175
M7,0.0002805037842001143
M8,0.00027968019739524466
V297,0.0002556085128498839
V98,0.00024942716869404786
V327,0.00024495162180449963
M6,0.00021717975562023477
V7,0.00013553059258255407
V6,4.072582809138938e-05
V2,3.080560067452325e-05
V8,1.2256936619535366e-05
