Feature,F_Score,P_Value
D4,1787.5682467338372,0.0
D11,1774.8872043291549,0.0
V36,1709.9139993293504,0.0
V174,1689.3239192199821,0.0
V220,1568.5907126297034,0.0
V313,1548.3785271053432,0.0
V109,1475.2386090028779,2.37e-322
V169,1470.963588362528,1.996e-321
TransactionAmt_Decimal,1390.6629534936965,5.092291990992117e-304
V61,1353.8616338558163,4.84722777592367e-296
V312,1336.026959756832,3.567075612466789e-292
V208,1302.8715062942206,5.512055841182634e-285
C1,1268.0567979938116,1.952857569234899e-277
V82,1242.726450524859,6.078308671084244e-272
V309,1206.679185979217,3.994985658933874e-264
V209,1195.02610517631,1.3455933876825002e-261
V115,1176.1036781823718,1.7103585878743915e-257
M8,1096.2181530474847,3.646837299170879e-240
D3,1082.3962573122462,3.635147089329663e-237
V12,1072.983023079065,4.0063245019508226e-235
D5,1065.687338463716,1.5331917427453515e-233
V289,1009.2066849239965,2.757322045733353e-221
V75,1003.8598116479202,3.987676998960541e-220
V127,982.1481091725174,2.0519763517149835e-215
V314,974.0955777225776,1.147220817619972e-213
V284,799.3588152540997,9.752880034762598e-176
V223,779.0839618484408,2.4628763059935732e-171
V20,751.8940211716808,1.975620507856184e-165
D6,737.6915767318434,2.398640104311149e-162
V332,736.1640001955328,5.148835888532547e-162
V53,729.7821375823564,1.2522129546937164e-160
V333,728.3704912807218,2.5366122806592446e-160
V288,725.5669922082018,1.0306513589027956e-159
V287,697.1277461406376,1.5482232073474385e-153
V76,693.4417452138568,9.782363284488282e-153
V96,691.7680855057702,2.259286152709546e-152
V324,684.5510798813286,8.34772467109502e-151
V207,666.9512487647987,5.553764509859308e-147
V129,661.3291365567404,9.24427443205371e-146
V13,654.8663937162581,2.343155446408723e-144
card5,643.5332153591991,6.78956838556146e-142
V301,637.936105859387,1.1163766259049934e-140
V131,627.3645424052446,2.2108193490577214e-138
V323,618.2811348313434,2.0800110029829993e-136
C5,610.0756200037247,1.261560568420902e-134
V19,604.4112636475722,2.146153733886299e-133
V5,600.4231840424661,1.578374805987318e-132
V260,562.3721941334618,2.9302531692126513e-124
V331,560.5426053653885,7.320190200857548e-124
V322,549.0551246704993,2.2968458379067987e-121
V66,537.9913445240677,5.831659520842829e-119
V245,505.2524913227603,7.624992314407638e-112
V320,469.54793789978083,4.413949357840079e-104
V172,461.81840310980084,2.116109594768e-102
V4,450.79661058532224,5.275463052940212e-100
V98,447.67478603090547,2.5185007698595163e-99
V298,427.4389990501329,6.339067619561524e-95
V205,414.62142203551934,3.889729046218788e-92
V296,401.03361964304594,3.512629275253361e-89
V300,389.65567368897825,1.049260763693709e-86
Email_IsPopular,385.449432038302,8.629813656088652e-86
R_emaildomain,358.10308005785845,7.69723881709885e-80
D8,356.35517143688384,1.848055546769447e-79
D13,336.624001337667,3.639678747343592e-75
V329,332.1764886898231,3.3818241692147578e-74
V321,330.43503391221464,8.095153042045164e-74
V106,317.0160085407938,6.7526716212008975e-71
V299,308.18831518514247,5.642367199578539e-69
V54,292.3682559457011,1.571664412127653e-65
V105,272.1203947417363,4.0410582699125125e-61
