feature,f_score,p_value,mi_score,importance,f_score_norm,mi_score_norm,importance_norm,combined_score
timbre_cov_42,1198.5430809453337,3.144625576647679e-262,0.007180537538559406,0.0036403674944645945,0.057081567835021885,0.17213651139811423,0.0019158591102583535,0.07704464611446482
timbre_cov_4,367.05008212389043,8.949270844012062e-82,0.007503527716389513,0.009508769335211099,0.01748046204551123,0.17987944180255377,0.03255069169230665,0.07663686518012389
timbre_cov_15,145.98441022312576,1.3264768455439302e-33,0.00837510997072144,0.006071066925342606,0.006951876631346627,0.20077357791026665,0.014604845335638512,0.07411009995908394
timbre_cov_3,33.11865562133319,8.676678595022033e-09,0.00878947221389037,0.004170163106021246,0.001576475161540205,0.21070693883361985,0.004681552446057134,0.07232165548040573
timbre_cov_16,49.16890741358591,2.3521876454979138e-12,0.008634950895702431,0.004573374031737418,0.002340892565023087,0.20700265339444837,0.006786435434607958,0.07204332713135982
timbre_cov_74,1307.5938229158103,7.477226714890933e-286,0.00611182531380372,0.004563750830722979,0.0622752735851828,0.14651664755504198,0.006736199414652099,0.07184270685162562
timbre_cov_21,3893.919377272349,0.0,0.0010343685266498426,0.004231300515739699,0.18545292153815401,0.024796554397406995,0.005000708216580621,0.07175006138404721
timbre_cov_22,606.7049084403834,7.363539971406846e-134,0.0073208097366128655,0.004963959271801752,0.02889438392263851,0.17549920767111668,0.008825408525255735,0.0710730000396703
timbre_cov_1,201.25748900602048,1.1394371113683754e-45,0.00709581415944438,0.008784625696200624,0.00958434021588177,0.17010546750531308,0.028770442870147062,0.06948675019711398
timbre_cov_26,2340.5774536207095,0.0,0.0026172183524399983,0.009790274988622788,0.1114726740399785,0.06274165887120016,0.03402023634810858,0.06941152308642907
timbre_cov_76,712.8915599886966,6.4957793675716e-157,0.006414038548689938,0.006572985108410514,0.0339516830548729,0.1537614995835002,0.017225010062840506,0.06831273090040453
timbre_cov_50,748.4126624924414,1.267903284315523e-164,0.006934337253691858,0.003853077507112292,0.03564342903470036,0.16623443820167993,0.0030262697131489477,0.06830137898317641
timbre_cov_70,16.367634855809218,5.2178410159081775e-05,0.008079257777514393,0.005202430608540851,0.0007786825807751857,0.19368121690600135,0.010070301031746092,0.0681767335061742
timbre_cov_36,782.0479088218281,6.367043083164962e-172,0.006640315430152199,0.004350889792831937,0.03724535827527635,0.1591859560083562,0.005625000414311729,0.06735210489931476
timbre_avg_11,378.5635965515745,2.801288430949044e-84,0.007232920414912414,0.004978640435103006,0.018028810502450775,0.17339226774559996,0.008902048638194288,0.06677437562874834
timbre_cov_37,452.7976069093631,2.0229121135980003e-100,0.007180824580864886,0.004392976784004315,0.0215643169968232,0.17214339256276573,0.005844707237981448,0.06651747226585679
timbre_cov_69,845.2139651557908,1.256243044344494e-185,0.0065174978451683074,0.0035667937134221247,0.040253736797684826,0.15624169306091812,0.0015317817198835966,0.06600907052616219
timbre_cov_46,34.97516368459929,3.342116154806002e-09,0.007687267826599786,0.004952358393541701,0.0016648941528205731,0.18428417910887065,0.008764848431903952,0.06490464056453173
timbre_cov_31,0.017861249480314905,0.8936825873189523,0.007846393484596703,0.0043384191791099634,0.0,0.1880988427735932,0.005559900038786068,0.06455291427079309
timbre_cov_5,362.2332105530829,9.991746795929287e-81,0.006136014778948429,0.007717169844469705,0.01725105128568474,0.14709653313049317,0.023198000458407825,0.06251519495819526
timbre_cov_32,59.97353564327223,9.636832235152771e-15,0.00708759199875697,0.003537878049416954,0.0028554792496333133,0.1699083605270005,0.0013808332078634154,0.05804822432816575
timbre_cov_38,1564.331885668844,0.0,0.003981283316599971,0.003901468981741293,0.07450281031452118,0.09544191048745995,0.0032788878473340617,0.057741202883105074
timbre_cov_58,1074.9979882460739,1.8680685906043365e-235,0.004832016877620582,0.00327336594160351,0.051197546811762584,0.11583624817276404,0.0,0.05567793166150888
timbre_cov_71,67.35187640426999,2.2779958842798974e-16,0.006044330268427878,0.006399008434213686,0.0032068838356508517,0.14489861247267322,0.01631679920205811,0.05480743183679406
timbre_avg_10,455.43294817887494,5.409104835246076e-101,0.005253371254721806,0.005790227407845304,0.021689829091998174,0.12593722907385152,0.01313877811079103,0.05358861209221358
timbre_cov_6,132.59018751102053,1.1240624127264368e-30,0.006161929698156321,0.004343604038863016,0.0063139566111634505,0.14771778241185346,0.005586966574924291,0.053206235199313744
timbre_cov_49,395.1493744559606,6.919576363252716e-88,0.005146525938578783,0.004290917315178298,0.018818733143199273,0.12337586373298061,0.005311925941515205,0.04916884093923169
timbre_cov_72,368.2242851737081,4.970054677494687e-82,0.004933776055414896,0.003613656304444987,0.017536385233391467,0.11827568530044291,0.0017764186192142234,0.04586282971768287
timbre_cov_20,315.91653690636537,1.1968565258472053e-70,0.00489019526239165,0.003629889039890382,0.015045149978636237,0.11723093821365449,0.0018611584080380772,0.044712415533442934
timbre_cov_43,112.18486467232044,3.2815494042740713e-26,0.005225058135732041,0.003936249425640953,0.005342122393016284,0.12525848858910008,0.0034604522842813235,0.04468702108879923
timbre_avg_5,152.4947281463506,5.014061281421244e-35,0.0035470275694233777,0.010686903181832541,0.0072619403230029635,0.08503164956031534,0.03870090671335254,0.04366483219889028
timbre_cov_75,302.31289624072497,1.0944836292345437e-67,0.0044514582377122025,0.0035560745738336653,0.014397256113160407,0.10671324919052042,0.0014758245690906814,0.0408621099575905
timbre_cov_64,131.462566067814,1.9833311576734988e-30,0.004569402773694442,0.0034964755903103806,0.006260251942421517,0.10954069224104798,0.0011646998486226946,0.0389885480106974
timbre_cov_14,215.06839953817502,1.1091831651937909e-48,0.003949993814516439,0.005525985909078381,0.010242105620772168,0.09469181821329245,0.01175935756399963,0.03889776046602142
timbre_cov_17,2236.6626479644196,0.0,0.0,0.0040305859967564184,0.10652357498836415,0.0,0.003952917718809089,0.03682549756905775
timbre_cov_77,27.99156650089758,1.2191016281950296e-07,0.004193155630831669,0.004001667127332402,0.0013322898239145054,0.10052105126735851,0.0038019524735330157,0.03521843118826868
timbre_cov_63,401.05378535578467,3.5978700292392184e-89,0.002925983595467585,0.004191120939614423,0.019099939600740214,0.07014357989596272,0.004790958676378906,0.031344826057693946
timbre_cov_44,9.868732146912125,0.0016812374899404642,0.0033921262613212377,0.004416649667067898,0.00046916255588554985,0.0813182547560238,0.005968286847740246,0.02925190138654987
timbre_cov_53,637.7266056915296,1.3509932462388033e-140,0.0020190309382428495,0.0046220890686422865,0.03037183895395456,0.048401521508334384,0.0070407426617386595,0.028604701041342533
timbre_cov_39,323.90104407003315,2.1890341496279862e-72,0.0021098698821528927,0.004969353987858576,0.015425424152097335,0.05057917169396393,0.008853570574773373,0.024952722140278213
